anchor,positive
A little boy with blue jeans runs on the leaves in the woods.,The boy is playing in the woods.
A young boy in a blue shirt is walking on a trail through the woods.,A boy is outside.
"A young child with blond-hair, wearing a blue shirt and jeans is walking in the woods.",A young child walks through the woods.
A small child in blue shirt and blue jeans is running through a wooded path over dry leaves.,A child is running over leaves.
Young boy jogging through the forest.,A child runs through the woods
a small child in a pink shirt running through a flowery field.,A child is running.
A crew gets ready at the sideline in an empty basketball stadium.,A crew is getting ready
Men standing at the edge of a basketball court talking to each other.,The men are having a conversation.
commentators and broadcasters at there both in an arena before the game.,Commentators and broadcasters are preparing at the arena before a game
Three basketball commentators are talking while standing on the sidelines.,Three people are watching basketball from the sideline
Reporters or commentators at a sporting event are standing and sitting behind a large sign.,A group of people have gathered at a sporting event behind a large sign.
"Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.",There is fire visible in the shot.
A girl touches the fountain with her foot.,A girl and a fountain.
A little girl dressed in pink and white is walking.,A girl is wearing pink and white.
A young girl in all pink clothing walking.,A child is wearing only one color.
A young Asian girl wearing a pink outfit is walking past a bicycle.,A young girl wears a pink outfit.
"A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.",A man is posing beside a road sign in the snow
The little girl is dressed in pink.,A little girl is dressed in the same color.
A man jumping up in the snow next to a body of water.,It is snowing.
A young boy paddling in a body of water on a small floating vessel near the shoreline.,A little boy is outside in the water
A nurse treating a child with cleft palate.,nurse treats child
"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",Three kids stand at the shore of a lake.
"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",There are multiple people present.
"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",A boy in a yellow kayak.
"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.","Three children stand near a clear lake and some canoes, while a fourth child sits in a kayak holding a paddle, dressed in red."
"There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.",The grass is green.
"In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.",A young man is canoeing.
a child is paddleboarding outdoors,A small human in the water.
A smiling young girl sitting at a table has an upturned bowl on her head.,A child has a bowl on her head.
Three men sit together while one looks at a book.,People are staring at text.
A nurse monitors a young child who appears to be post-op.,A nurse monitors a patient.
A nurse monitors a young child who appears to be post-op.,A woman watching over a person.
The little girl in the blue sweater is reading her book.,A small child is holding a book.
The nurse smiles as she gently rubs the tummy of the sleeping child.,The sleeping child is in the hospital.
A little girl with a backpack sitting down looking at a book.,the girl reads a book
"A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.",The crowd watches a baseball game
"There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.",A baseball game is being played.
A baseball player getting ready to bat.,The player is ready to hit.
A man in a red and white uniform holding a bat.,One man with a bat wearing red and white.
A baseball player is holding a bat.,The person has a piece of athletic equipment.
A lone boat sitting in the water.,A boat sits alone at the docks edge.
A girl in a pink tank top and green pants is running through a field of tall flowers.,A girl in a tank top and pants is running.
Four ice skaters racing around a corner.,The people are racing.
Two men talk at a crowded beach on a nice day.,Two men talk at the beach.
"Four skaters are competing in a high speed skating competition, and turning on the track.",Four people are skating.
Four athletes from two different teams are competing in their sport on the ice rink.,People are playing a game on the ice.
Four people turn a corner in a speed skating event.,The people are skating.
Four women participating in an ice-skating race.,Some humans participating.
A team of soccer players in white strips are running around cones on a sports field.,Soccer players are running on the grass.
Runners in a marathon going uphill.,Runners run in the marathon.
An older man in jeans and a sweater is lifting down a box from the top of a pile.,"The man is moving a box,"
An older man places a wooden crate on top of a stack of wooden crates.,A man stacking crates.
Man in sweater stacks wooden crates next to pile of plastic crates.,A man working hard.
Man stacking wooden crates on top of each other.,A man performs simple work functions.
An elderly male is reaching for a crate.,An old man trying to get to a crate
A girl in a green sweatshirt sitting down and a girl in a dress leaning on blue lockers.,One girl is sitting.
A girl is on a stool while another girl is reading and leaning on some lockers,A girl is busy reading while another sits nearby.
Two men in baseball hats and bright yellow shirts work behind a fence.,Men are working.
Two men in baseball hats and bright yellow shirts work behind a fence.,Two men are working outside.
Two men in baseball hats and bright yellow shirts work behind a fence.,Two men a hats and yellow shirts are working behind a fence.
Two men in baseball hats and bright yellow shirts work behind a fence.,Two men work.
Two men in baseball hats and bright yellow shirts work behind a fence.,Two men work behind a fence.
Two men wearing bright green shirts are looking for something by a bush.,Two men are looking for something.
Two workers in neon green shirts opening a utility box.,Two workers are opening a utility box.
Men wearing lime green shirts work behind a chain link fence.,People wearing lime green shirts work behind a chain link fence.
Two people doing yard work.,People working in a yard
A man with a drink cup is talking to another man.,Two guys are talking.
An older man with a cane stands against a wall.,A person is standing
One person holds a giant snowball over two others on the ground in a snowy background.,People are outside in the snow.
A man holding a large chunk of snow over two people on the ground.,The guy is getting ready to throw snow at some people.
Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike,Humans waiting
two dogs playing,There are two animals in this picture.
Two dogs look at one another outside.,Two dogs are outside.
Two small dogs run across the green grass.,Two little dogs run across the grass.
Two small dogs run across the green grass.,animals are running outdoors
Two small dogs run across the green grass.,The canines run near each other.
Two small dogs run across the green grass.,Two dogs are outside.
Two small dogs run across the green grass.,Two dogs are outside.
Three people playing in the snow.,Three people play outside
two small dogs playing with each other in the grass,Two dogs are playing.
A man in a white jacket standing in front of an older woman in a white jacket playing crochet.,The man wearing the jacket stood in front of two women.
a woman in a coat watching a man in a jacket kick balls.,A woman is watching a man kick things.
A man and woman are looking at many balls on the ground.,Two people looking at balls
A man and old woman is playing a game,Two people play a game.
a black dog digging through the snow.,The puppy is playing outside.
Elderly bald man with a beard playing the guitar in a band.,There are people making music together.
An older man plying a guitar in a band.,The man is holding the instrument.
An older man in a white sure is playing a guitar while others play different instruments.,People making music together
Man in white t-shirt and white beard plays electric guitar with a fiddler in a band.,The band had a fiddler and a guitarist.
Two children are laughing and playing in a tire swing at a park.,Children are playing in a tire swing.
An elderly man playing guitar on stage.,An elderly person playing guitar on stage.
Students in a classroom of some sort are doing art projects.,Students are working on their art projects in the classroom.
A small black and brown dog is standing in the snow.,A dog is outside in the snow.
a large black dog fighting with another large brown and black dog.,There are some dogs that are fighting
A group of cheerleaders are cheering on a field.,A group of cheerleaders cheering.
A old man with a cane standing outside.,A man is standing.
"The woman, in the beret, is in the process of writing information in regard to what she sees in the microscope.",a woman writes down what she is seeing
A woman with brown hair and wearing a black hat is looking in a microscope and writing something down.,The woman is using a microscope and taking notes
A woman wearing a black code and hat is at school looking through a microscope and taking notes.,A woman looks through the microscope.
Ensuring that an accurate account of all I see here is appropriately recorded.,Establishing that everything is accurately recorded.
Three dogs affectionately playing,The animals are friendly to each other.
Man helping passengers get on tour boat.,There are people getting on a tour boat.
A large dock runs into a lake next to a group of people swimming.,People take a swim at the lake
A black dog digs in the snow.,The black dog is outside
A woman buys fresh food from a stand at a farmer's market.,A woman spends money.
"Girl gets all her fingers cutoff trying to catch a Frisbee, fail!",A girl lost her fingers!
"Two woman playing a frisbee game, the frisbee in the air about to be caught by one of the women.",A couple women are playing frisbee.
"Two woman playing a frisbee game, the frisbee in the air about to be caught by one of the women.",Two women are playing a game.
"Two woman playing a frisbee game, the frisbee in the air about to be caught by one of the women.",Two woman playing games
"Two woman playing a frisbee game, the frisbee in the air about to be caught by one of the women.",Two women are playing frisbee together.
"Two woman playing a frisbee game, the frisbee in the air about to be caught by one of the women.",Three women playing frisbee
Two men in baseball hats selling asparagus and other vegetables from an outdoor stand to a woman carrying a green bag.,Two men sell vegetables at an outdoor stand.
Beautiful young lady striking an artistic pose.,The woman is posing.
Man serving a customer from a vegetable stand.,The man is working the vegetable stand.
A woman in a white dress sits while another woman blow dries her hair.,A lady is near a blow dryer.
A young man in a green long-sleeved shirt and tie playing a saxophone.,the young man is playing the saxophone
Three men and one woman in a band on a stage.,The band members were singing.
The blond boy is playing the saxophone for a band.,A boy is playing an instrument.
Young man in a school band who has center stage and is doing his best.,A school band is playing.
A woman in a blue dress sings while her bandmates play instruments.,People are singing and playing instruments.
"A band with four members, one female, plays for a small audience.",A music group plays music.
A musical quintet are performing at a festival.,Four people at a festival.
A 5-person band is performing on a stage inside a tent.,A band performs a musical number on stage.
A large woman in a blue jacket is looking irritated.,a heavy set woman wearing a jacket is not happy.
Two men in wheelchairs crash and they reach for the ball.,Two men are in wheelchairs
A boogie boarder surfs on a man made wave.,There is a person with a boogie board.
A bride and groom dance surrounded by people at the reception.,A married couple is in the proximity of other humans.
A young blond woman in a blue top sits at a green table studying,A young women is sitting.
A referee is speaking to some players on a field.,referee discussing with player
"Man and woman discussing a topic while sitting in chairs, a water bottle sitting on the table.",man and woman talking
Two teams compete in a game of football and are hurrying to catch the ball midair.,two teams playing a game.
Players from two teams tangle together in pursuit of a flying rugby ball.,Two teams playing.
Black and White Team rugby players are struggling over the ball in front of a white wall that has blue writing.,The words on the wall are wrote in blue.
A team of men are playing a game in which several of them are jumping to reach the ball.,The men are playing basketball.
A group of rugby players are struggling over the ball.,A group is struggling over a ball.
A boy is hugging a smaller boy from behind.,a couple boys are together
Two young boys wearing jerseys are washing their hands in the bathroom.,A couple of young boys are washing their hands.
Asian women in traditional garb are walking in a parade.,Asian women in a parade
A man in green shorts and a brown shirt and sunglasses takes a picture.,The man taking the picture is wearing shorts and sunglasses.
Three Asian people wait on the sidewalk.,3 people are on the sidewalk
A group of people sitting at an outdoor table eating food and drinking alcoholic beverages.,The people are outdoors eating and drinking.
A man and a woman are standing in front of a building with some graffiti on it.,A woman and man are standing in front of a building.
A young girl and a young guy are outside on a street facing each other.,Some people are outside.
A woman in a black jacket is talking to a man who's wearing white sneakers next to a yellow building.,The woman is talking.
"Two people stand in front of a building with graffiti that reads ""Boss Life"".",Two people stand outside.
A group of adults in casual dress sit down to eat a barbecued meal.,The adults are wearing clothes.
Two people are facing each other on the corner of a street.,The two people are outdoors
A woman in red sips a drink as she looks at the people below her.,A person drinks while people watching.
"Many people wearing red and white are walking in the street as another lady, wearing a red blouse, watches from above holding a drink.",People are walking on a street.
A view of a city street where many people wearing white and red are walking.,There is a view of a city street with some people wearing white and red walking.
A view of a city street where many people wearing white and red are walking.,There is a view of a city street with many people wearing white and red while walking.
Two elderly people sing in microphones while playing instruments.,The people are making noise together.
"An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.","The man and woman singing due play their instruments, although the woman's instrument is blocked by something."
A young woman sips a drink on a balcony during a Bull run.,The woman sipped her drink.
A couple of old people playing instruments and singing.,old people are singing and playing instruments
Several people are standing in a fenced in area.,There are some people standing around whilst fenced in.
A winter landscape with four people walking in the snow.,A winter scene with people walking.
two dogs run across dry ground.,two animals run across dry ground.
Two dogs walking along dirt path.,The animals are moving.
The dogs are walking in the desert.,The dogs are on the beach.
Two dogs are walking away from the camera through shrubs and grass.,There are some dogs outside.
A man holds onto a tether as he waterskis splashing water every direction!,a man watersking
Two dogs playing outside.,There are canines in the yard.
A young Indian girl in a blue dress is pointing and smiling at the camera.,THe girl is on tv
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",At least one girl is smiling.
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",There is a smiling girl pointing to the camera.
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.","a number of girls dressed in blue, one of whom smiles"
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",A lady holds fabric while another woman points at the camera.
"Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.",A girl smiles and points at a picture.
Dog catching a red Frisbee.,A dog is playing catch.
Girls in blue dresses are holding large blue cloths.,A group of girls in blue holding cloths.
A man wearing swim goggles is doing the crawl in a lane in a swimming pool.,A human in a pool
Two Indian people are dancing at a wedding with flower petals all over the floor.,Two Indian people people dancing at a wedding.
The boys draw in the sand with sticks.,The children play simply.
A girl wearing a blue dress is sliding down a tube slide.,A girl wearing a blue dress is playing at a playground.
A swimmer is emerging from the water,The swimmer is coming up from the water.
A bearded man wears a red bandanna and a leather jacket over a teeshirt with an American flag on it.,A bearded man is wearing an America-themed shirt.
A swimmer's hand is taken as he gets out of the water.,The swimmer is getting out of the water.
A swimmer exits the water after a competition.,A person is wet.
The child wearing the green shirt is on the beach talking with some people.,The child is wearing green.
Four people in sunhats are sitting and talking together on the sand of the ocean shore.,Four people sit outside.
Three guys sitting on a sandy beach near the water and one is talking to the two little girls.,The guys sat on the beach near the water.
A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.,A small group of adults and children are wearing hats
Four people with hats are relaxing at the coast.,Some people are sitting on the coast.
A man wearing a beret walks down the street and smiles.,The man is happy as he walks.
Two people are outside walking through the snow.,There are people.
A dog rolls on his back.,The dog rolls over.
People sitting on black chairs on a bus.,The people in a bus
A woman who has just finished her dance performance3.,A woman just finished dancing.
A young woman is drawing with a Sharpie marker.,A woman is drawing.
A young woman is drawing with a Sharpie marker.,A woman is drawing.
A young woman is drawing with a Sharpie marker.,A young girl is drawing using a Sharpie marker
A young woman is drawing with a Sharpie marker.,a women is drawing
A young woman is drawing with a Sharpie marker.,The woman is drawing
A woman is drawing at a table with a blue permanent marker.,A woman is drawing.
A young woman draws lines on a tile with a permanent marker.,A person is using a writing utensil.
A woman with strawberry blond-hair decorates a tile in yellow and black.,A woman is decorating a tile.
"An art student uses a blue Sharpie to create a pattern on thick, white poster board.",A student draws on poster board.
A military man walks in front of a procession of people during a parade.,A man is in a parade..
"Barefooted, someone appears to be looking in a bathroom mirror.",A person appears to be looking in a mirror.
A woman in a pool looking down.,A woman is looking into a pool.
A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.
A baseball player hits baseball.,The player swings his bat.
A woman in a yellow shirts walks through a park with her dog not far behind.,A woman walks with her dog
A man on a small bicycle performing a trick on a wall covered with graffiti.,A man is riding a bicycle up a graffiti covered wall.
A baseball player hitting a ball.,someone hitting a ball
A trials biker doing a stunt on a graffiti-filled wall.,The person is on a bicycle.
A bmx rider does a trick against a graffiti covered wall.,A bike rider is outside doing tricks.
"Two men, both wearing green cycling clothes and helmets, are riding bicycles.",Two guys ride bikes.
A lady in a purple shirt is painting a picture of a person on a curved wall.,A lady painting.
A woman with a purple shirt painting another woman on a wall.,A woman who is wearing purple is painting another woman.
A lady painting on a public wall!,The woman was painting.
Seven people walking across a bridge.,There are people on a bridge
