anchor,positive,negative
A dog is swimming.,A small black and white dog is swimming in water.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,A small black and white dog is swimming in water.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,A small black and white dog is swimming in water.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,A small black and white dog is swimming in water.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,A small black and white dog is swimming in water.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,A small black and white dog is swimming in water.,A brown dog running through a large orange tube.
A dog is swimming.,A small black and white dog is swimming in water.,a dog shakes dry.
A dog is swimming.,A small black and white dog is swimming in water.,A white dog with beige spots is running through a field.
A dog is swimming.,A small black and white dog is swimming in water.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,A small black and white dog is swimming in water.,A dog in a harness chasing a red ball.
A dog is swimming.,A small black and white dog is swimming in water.,a black dog runs across the snow.
A dog is swimming.,A small black and white dog is swimming in water.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,A small black and white dog is swimming in water.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,A brown god relaxes on a brick sidewalk.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,A brown dog running through a large orange tube.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,a dog shakes dry.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,A white dog with beige spots is running through a field.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,A dog in a harness chasing a red ball.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,a black dog runs across the snow.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,a black dog swimming in the water with a tennis ball in his mouth,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",A brown god relaxes on a brick sidewalk.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",A brown dog running through a large orange tube.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",a dog shakes dry.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",A white dog with beige spots is running through a field.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.","Young redhead, looking through a gold colored telescope."
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",A dog in a harness chasing a red ball.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",a black dog runs across the snow.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,"A dog with yellow fur swims, neck deep, in water.",A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",A brown god relaxes on a brick sidewalk.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",A brown dog running through a large orange tube.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",a dog shakes dry.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",A white dog with beige spots is running through a field.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.","Young redhead, looking through a gold colored telescope."
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",A dog in a harness chasing a red ball.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",a black dog runs across the snow.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,"A wet, brownish-red dog with an orange ball in his mouth is swimming in some water.",A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,Dog swimming and splashing through water.,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,Dog swimming and splashing through water.,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,Dog swimming and splashing through water.,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,Dog swimming and splashing through water.,A brown god relaxes on a brick sidewalk.
A dog is swimming.,Dog swimming and splashing through water.,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,Dog swimming and splashing through water.,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,Dog swimming and splashing through water.,A brown dog running through a large orange tube.
A dog is swimming.,Dog swimming and splashing through water.,a dog shakes dry.
A dog is swimming.,Dog swimming and splashing through water.,A white dog with beige spots is running through a field.
A dog is swimming.,Dog swimming and splashing through water.,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,Dog swimming and splashing through water.,A dog in a harness chasing a red ball.
A dog is swimming.,Dog swimming and splashing through water.,a black dog runs across the snow.
A dog is swimming.,Dog swimming and splashing through water.,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,Dog swimming and splashing through water.,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,a dog swimming in the water with a stick in its mouth,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,A brown god relaxes on a brick sidewalk.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,A brown dog running through a large orange tube.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,a dog shakes dry.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,A white dog with beige spots is running through a field.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,a dog swimming in the water with a stick in its mouth,A dog in a harness chasing a red ball.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,a black dog runs across the snow.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,a dog swimming in the water with a stick in its mouth,A black dog is running gover rocky ground under a cloudy blue sky.
A dog is swimming.,a tan and white dog swimming towards a waterfall,A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
A dog is swimming.,a tan and white dog swimming towards a waterfall,a tan dog climbing over a bare tree trunk with a man standing in the background
A dog is swimming.,a tan and white dog swimming towards a waterfall,A dog playing with a golf ball in front of a small wooden fence on the beach.
A dog is swimming.,a tan and white dog swimming towards a waterfall,A brown god relaxes on a brick sidewalk.
A dog is swimming.,a tan and white dog swimming towards a waterfall,A golden haired dog is lying in a boat that is traveling on a lake.
A dog is swimming.,a tan and white dog swimming towards a waterfall,The dog is jumping over a low yellow bar with other obstacles nearby.
A dog is swimming.,a tan and white dog swimming towards a waterfall,A brown dog running through a large orange tube.
A dog is swimming.,a tan and white dog swimming towards a waterfall,a dog shakes dry.
A dog is swimming.,a tan and white dog swimming towards a waterfall,A white dog with beige spots is running through a field.
A dog is swimming.,a tan and white dog swimming towards a waterfall,"Young redhead, looking through a gold colored telescope."
A dog is swimming.,a tan and white dog swimming towards a waterfall,A dog in a harness chasing a red ball.
A dog is swimming.,a tan and white dog swimming towards a waterfall,a black dog runs across the snow.
A dog is swimming.,a tan and white dog swimming towards a waterfall,A white dog with a stick in his mouth standing next to a black dog.
A dog is swimming.,a tan and white dog swimming towards a waterfall,A black dog is running gover rocky ground under a cloudy blue sky.
A big brown dog swims towards the camera.,A dog swims towards the camera.,A dog is chasing a stick.
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The man with the gray hat and pitchfork is directing the cart.,The woman in a blue dress is hitching a horse to a cart.
"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road.,A woman in a gray business suit is drinking tea.
A farmer fertilizing his garden with manure with a horse and wagon.,The man is fertilizering his garden.,The man is on the city street with his horse and wagon.
A white horse is pulling a cart while a man stands and watches.,An animal is walking outside.,A man is watching a horse race.
A dog drops a red disc on a beach.,a dog drops a red disc,a dog catch the ball on a beach
A man and a woman are walking on a street at the top of a hill.,A man and woman walk on a street.,Two men play catch on a hill.
An elderly man is drinking orange juice at a cafe.,An old man is enjoying a beverage at a cafe.,An elderly man is drinking apple juice at a bar.
A couple holding hands walks down a street.,People are holding hands and walking.,There are people sitting on the side of the road.
A couple walk through a white brick town.,People are walking outdoors.,A man and woman walk in a brown brick city.
Children going home from school.,The school children head home.,The children are at the library.
People listening to a choir in a Catholic church.,Choir singing in mass.,People are listening to a metal band.
Bicyclists waiting at an intersection.,A person on a bike is near a street.,Bicyclists riding along a freeway.
Bicyclists waiting at an intersection.,A person on a bike is near a street.,The bicyclists are dead.
Bicyclists waiting at an intersection.,A person on a bike is near a street.,The bicyclists ride through the mall on their bikes.
Bicyclists waiting at an intersection.,A person on a bike is near a street.,A bicyclist is sitting down having lunch at the mall.
Bicyclists waiting at an intersection.,A person on a bike is near a street.,The bicyclists are at home.
Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.,Bicyclists riding along a freeway.
Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.,The bicyclists are dead.
Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.,The bicyclists ride through the mall on their bikes.
Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.,A bicyclist is sitting down having lunch at the mall.
Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.,The bicyclists are at home.
Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross.,Bicyclists riding along a freeway.
Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross.,The bicyclists are dead.
Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross.,The bicyclists ride through the mall on their bikes.
Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross.,A bicyclist is sitting down having lunch at the mall.
Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross.,The bicyclists are at home.
Bicyclists waiting at an intersection.,The bicycles are on a road.,Bicyclists riding along a freeway.
Bicyclists waiting at an intersection.,The bicycles are on a road.,The bicyclists are dead.
Bicyclists waiting at an intersection.,The bicycles are on a road.,The bicyclists ride through the mall on their bikes.
Bicyclists waiting at an intersection.,The bicycles are on a road.,A bicyclist is sitting down having lunch at the mall.
Bicyclists waiting at an intersection.,The bicycles are on a road.,The bicyclists are at home.
Bicyclists waiting at an intersection.,The bicyclists are outside.,Bicyclists riding along a freeway.
Bicyclists waiting at an intersection.,The bicyclists are outside.,The bicyclists are dead.
Bicyclists waiting at an intersection.,The bicyclists are outside.,The bicyclists ride through the mall on their bikes.
Bicyclists waiting at an intersection.,The bicyclists are outside.,A bicyclist is sitting down having lunch at the mall.
Bicyclists waiting at an intersection.,The bicyclists are outside.,The bicyclists are at home.
The bicyclists are in a race.,Bicyclists stay in a line as each wear different color suits.,"The bicyclists are parked under a tree, enjoying water and sandwiches after a hard-fought race."
The bicyclists are in a race.,There are several people and bikes in this picture.,"The bicyclists are parked under a tree, enjoying water and sandwiches after a hard-fought race."
People waiting at a light on bikes.,People with bikes.,People in a car race.
People waiting at a light on bikes.,People with bikes.,The people are running a red light.
People waiting at a light on bikes.,People with bikes.,A bunch of friends are on a boat
People waiting at a light on bikes.,People with bikes.,The people are inside waiting.
People waiting at a light on bikes.,People with bikes.,A ladybug has landed on a beautiful pink rose.
People waiting at a light on bikes.,There are some people outside.,People in a car race.
People waiting at a light on bikes.,There are some people outside.,The people are running a red light.
People waiting at a light on bikes.,There are some people outside.,A bunch of friends are on a boat
People waiting at a light on bikes.,There are some people outside.,The people are inside waiting.
People waiting at a light on bikes.,There are some people outside.,A ladybug has landed on a beautiful pink rose.
People waiting at a light on bikes.,Men and women outside on a street corner.,People in a car race.
People waiting at a light on bikes.,Men and women outside on a street corner.,The people are running a red light.
People waiting at a light on bikes.,Men and women outside on a street corner.,A bunch of friends are on a boat
People waiting at a light on bikes.,Men and women outside on a street corner.,The people are inside waiting.
People waiting at a light on bikes.,Men and women outside on a street corner.,A ladybug has landed on a beautiful pink rose.
People waiting at a light on bikes.,People are on their bikes.,People in a car race.
People waiting at a light on bikes.,People are on their bikes.,The people are running a red light.
People waiting at a light on bikes.,People are on their bikes.,A bunch of friends are on a boat
People waiting at a light on bikes.,People are on their bikes.,The people are inside waiting.
People waiting at a light on bikes.,People are on their bikes.,A ladybug has landed on a beautiful pink rose.
People waiting at a light on bikes.,The people are on bikes.,People in a car race.
People waiting at a light on bikes.,The people are on bikes.,The people are running a red light.
People waiting at a light on bikes.,The people are on bikes.,A bunch of friends are on a boat
People waiting at a light on bikes.,The people are on bikes.,The people are inside waiting.
People waiting at a light on bikes.,The people are on bikes.,A ladybug has landed on a beautiful pink rose.
The people are on bikes.,People waiting at a light on bikes.,People boarding an orange bus that says Primor.
People on bicycles waiting at an intersection.,There are people on bicycles.,The people are waiting for the movie to begin.
People on bicycles waiting at an intersection.,There are people on bicycles.,People on bicycles speed through an intersection.
People on bicycles waiting at an intersection.,There are people on bicycles.,People are waiting on foot.
People on bicycles waiting at an intersection.,There are people on bicycles.,The people are on skateboards.
People on bicycles waiting at an intersection.,There are people on bicycles.,The people are sleeping.
People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws.,The people are waiting for the movie to begin.
People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws.,People on bicycles speed through an intersection.
People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws.,People are waiting on foot.
People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws.,The people are on skateboards.
People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws.,The people are sleeping.
People on bicycles waiting at an intersection.,There are bicyclists stopped at a road.,The people are waiting for the movie to begin.
People on bicycles waiting at an intersection.,There are bicyclists stopped at a road.,People on bicycles speed through an intersection.
People on bicycles waiting at an intersection.,There are bicyclists stopped at a road.,People are waiting on foot.
People on bicycles waiting at an intersection.,There are bicyclists stopped at a road.,The people are on skateboards.
People on bicycles waiting at an intersection.,There are bicyclists stopped at a road.,The people are sleeping.
People on bicycles waiting at an intersection.,People are riding their bicycles.,The people are waiting for the movie to begin.
People on bicycles waiting at an intersection.,People are riding their bicycles.,People on bicycles speed through an intersection.
People on bicycles waiting at an intersection.,People are riding their bicycles.,People are waiting on foot.
People on bicycles waiting at an intersection.,People are riding their bicycles.,The people are on skateboards.
People on bicycles waiting at an intersection.,People are riding their bicycles.,The people are sleeping.
People on bicycles waiting at an intersection.,People wait on traffic.,The people are waiting for the movie to begin.
People on bicycles waiting at an intersection.,People wait on traffic.,People on bicycles speed through an intersection.
People on bicycles waiting at an intersection.,People wait on traffic.,People are waiting on foot.
People on bicycles waiting at an intersection.,People wait on traffic.,The people are on skateboards.
People on bicycles waiting at an intersection.,People wait on traffic.,The people are sleeping.
The people are sleeping.,A father and his son cuddle while sleeping.,Many people are watching a man in yellow make animal balloons.
The people are sleeping.,A father and his son cuddle while sleeping.,People having fun at a party.
The people are sleeping.,A father and his son cuddle while sleeping.,Three people are playing water volleyball in a pool
The people are sleeping.,A father and his son cuddle while sleeping.,Two women wearing white shirts are dancing.
The people are sleeping.,A father and his son cuddle while sleeping.,People eating around a table.
The people are sleeping.,A father and his son cuddle while sleeping.,Two people street cleaning by hand and with machine.
The people are sleeping.,A father and his son cuddle while sleeping.,People are enjoying shade underneath colored umbrellas.
The people are sleeping.,A father and his son cuddle while sleeping.,Two men and a woman smiling and holding music instruments and a microphone.
The people are sleeping.,A father and his son cuddle while sleeping.,Four people in protective clothing standing next to garbage bags.
The people are sleeping.,A father and his son cuddle while sleeping.,Two people are on a path using a map and a compass.
The people are sleeping.,A father and his son cuddle while sleeping.,A man and a woman who are dressed in wedding clothes are dancing on a dance floor.
The people are sleeping.,A father and his son cuddle while sleeping.,"A group of people watching four other people, one woman dressed in brown, one woman dressed in white and four children dressed in yellow and orange."
The people are sleeping.,A father and his son cuddle while sleeping.,People riding a boat on a clear day.
The people are sleeping.,A father and his son cuddle while sleeping.,People on bicycles waiting at an intersection.
The people are sleeping.,A father and his son cuddle while sleeping.,People sit a tables while a man speaks with a microphone.
The people are sleeping.,A father and his son cuddle while sleeping.,People are going in and out of what looks to be a theater.
The people are sleeping.,A father and his son cuddle while sleeping.,A group of individuals conversing and drinking beverages.
The people are sleeping.,A father and his son cuddle while sleeping.,Three people holding beers and posing for a picture.
The people are sleeping.,A father and his son cuddle while sleeping.,Little girl with floaties swimming next to older man standing in the water.
The people are sleeping.,A father and his son cuddle while sleeping.,A man in a green tie talking to two woman over drinks.
The people are sleeping.,A father and his son cuddle while sleeping.,Protesters march for education reform.
The people are sleeping.,A father and his son cuddle while sleeping.,A man and woman walk up a sidewalk away from the water.
The people are sleeping.,A father and his son cuddle while sleeping.,A young couple kissing by a bike rake.
The people are sleeping.,A father and his son cuddle while sleeping.,Several people wait for a train.
The people are sleeping.,A father and his son cuddle while sleeping.,Two men playing rugby on the ground.
The people are sleeping.,A father and his son cuddle while sleeping.,"A group of people sit in an open, plaza-like area with large bushes and victorian-styled buildings in a row behind them, many of which are made indistinct by a heavy blur on the right side of the picture."
The people are sleeping.,A father and his son cuddle while sleeping.,This photograph captured a man and a woman skating in an intertwining pose.
The people are sleeping.,A father and his son cuddle while sleeping.,A man is eating from a paper cone while a woman stands behind him.
The people are sleeping.,A father and his son cuddle while sleeping.,A group of people on a walkway.
The people are sleeping.,A father and his son cuddle while sleeping.,Two people skiing on a mountain.
The people are sleeping.,A father and his son cuddle while sleeping.,A man in a pair of jeans and a yellow shirt with a paper hanging out of his back pocket enjoys a laugh with a man in jeans and a white shirt at what looks like a meeting coming to an end.
The people are sleeping.,A father and his son cuddle while sleeping.,Four people are playing football by a body of water in partly cloudy weather.
The people are sleeping.,A father and his son cuddle while sleeping.,A group of five people play a game.
The people are sleeping.,A father and his son cuddle while sleeping.,A bunch of people with umbrellas walking outside of a farmers market.
The people are sleeping.,A father and his son cuddle while sleeping.,A young person wearing a helmet is jumping in the air during a gymnastics routine.
The people are sleeping.,A father and his son cuddle while sleeping.,Several people are sitting on the back of a truck outside.
The people are sleeping.,A father and his son cuddle while sleeping.,"A game of hockey, with ""Huppe"" in the main part of the picture looking onto the field at the other players."
The people are sleeping.,A father and his son cuddle while sleeping.,People gather at an event outside on a street with tents.
The people are sleeping.,A father and his son cuddle while sleeping.,acrobats wearing white shirts and red pants dangle from a motorcycle on a long wire while another acrobat wearing the same outfit flips himself upside down on the handlebars.
The people are sleeping.,A father and his son cuddle while sleeping.,A group of people competing in the Race for a Cure.
The people are sleeping.,A father and his son cuddle while sleeping.,A person holding a tray of food in front of two guys.
The people are sleeping.,A father and his son cuddle while sleeping.,Two children smile as they prepare to make their big splash.
The people are sleeping.,A father and his son cuddle while sleeping.,"People wearing white helmets, looking into a crowded street corner."
The people are sleeping.,A father and his son cuddle while sleeping.,Several Asians eat food outdoors.
The people are sleeping.,A father and his son cuddle while sleeping.,A mother in a green shirt spending time with her young toddler in pink shorts
The people are sleeping.,A father and his son cuddle while sleeping.,Three people climb on a large rock.
The people are sleeping.,A father and his son cuddle while sleeping.,Several people gather around a blue car in Asia with a small toddler on the hood of the car.
The people are sleeping.,A father and his son cuddle while sleeping.,Two people who are wearing coat are taking their food in a restaurant.
The people are sleeping.,A father and his son cuddle while sleeping.,A group of cheerleaders are lifting up two other cheerleaders above their heads.
The people are sleeping.,A father and his son cuddle while sleeping.,Several young musicians play their instruments.
The people are sleeping.,A father and his son cuddle while sleeping.,People buying ice cream from an antique truck.
The people are sleeping.,A father and his son cuddle while sleeping.,The man and woman show off their matching skull tattoos.
The people are sleeping.,A father and his son cuddle while sleeping.,Two people talking wearing kimonos in the middle of a shopping area.
The people are sleeping.,A father and his son cuddle while sleeping.,"Four girls and one boy, all dressed very colorful play a game while barefoot walking on a blanket laid in the grass."
The people are sleeping.,A father and his son cuddle while sleeping.,Two workers wearing orange vests going over paperwork.
The people are sleeping.,A father and his son cuddle while sleeping.,People are observing billboards.
The people are sleeping.,A father and his son cuddle while sleeping.,A man in a green and silver Mardi Gras costume in a parade.
The people are sleeping.,A father and his son cuddle while sleeping.,People are walking down a street as if in a parade.
The people are sleeping.,A father and his son cuddle while sleeping.,2 men and a woman load up the back of a pickup truck with fruits and vegetables.
The people are sleeping.,A father and his son cuddle while sleeping.,Two teams battle it out for the win!
The people are sleeping.,A father and his son cuddle while sleeping.,Three people talking on a city street.
The people are sleeping.,A father and his son cuddle while sleeping.,Many uniformed cyclists are going down a street passing cars parked on the side of the road.
The people are sleeping.,A father and his son cuddle while sleeping.,someone is singing at a party.
The people are sleeping.,A father and his son cuddle while sleeping.,A large group of people are riding on top of a bus and hanging the side.
The people are sleeping.,A father and his son cuddle while sleeping.,A crowd has gathered to watch a young man break-dance in the street.
The people are sleeping.,A father and his son cuddle while sleeping.,Three people are standing outside a big white boat.
The people are sleeping.,A father and his son cuddle while sleeping.,A group of people gathered together in a field eating barbecued meats while drinking Pepsi.
The people are sleeping.,A father and his son cuddle while sleeping.,Group of people gathering around a parade float.
The people are sleeping.,A father and his son cuddle while sleeping.,Three people cross the street while a crossing guard in an orange vest stops traffic.
The people are sleeping.,A father and his son cuddle while sleeping.,A maintenance working in an orange vest is looking at the doors of a bus or subway.
The people are sleeping.,A father and his son cuddle while sleeping.,A man in white shorts and a wetsuit top is riding on a bright yellow surfboard.
The people are sleeping.,A father and his son cuddle while sleeping.,"A large group of people are watching something, screaming, and taking pictures."
The people are sleeping.,A father and his son cuddle while sleeping.,A group of people are exercising on exercise bike with an instructor.
The people are sleeping.,A father and his son cuddle while sleeping.,An amazingly blossomed red tree with several people sitting on a couch beneath its flowers.
The people are sleeping.,A father and his son cuddle while sleeping.,People gather on a dock and drink beers.
The people are sleeping.,A father and his son cuddle while sleeping.,A couple is kissing on a city street at nighttime.
The people are sleeping.,A father and his son cuddle while sleeping.,A sparsely populated crowd at the stadium for a sports event.
The people are sleeping.,A father and his son cuddle while sleeping.,spectators watching what appears to be a surfing contest
The people are sleeping.,A father and his son cuddle while sleeping.,Two people flipping into the clean crisp water.
The people are sleeping.,A father and his son cuddle while sleeping.,A construction crew person pulls on a large coil of red line in the subways of London.
The people are sleeping.,A father and his son cuddle while sleeping.,"People are walking through a market, browsing over merchandise and making purchases."
The people are sleeping.,A father and his son cuddle while sleeping.,A group of people dancing.
The people are sleeping.,A father and his son cuddle while sleeping.,A picture of a crowd of people and hanging teddy bears at a stand.
The people are sleeping.,A father and his son cuddle while sleeping.,Seven people eating something.
The people are sleeping.,A father and his son cuddle while sleeping.,People dancing inside a room where there is a small concert happening.
The people are sleeping.,A man and young boy asleep in a chair.,Many people are watching a man in yellow make animal balloons.
The people are sleeping.,A man and young boy asleep in a chair.,People having fun at a party.
The people are sleeping.,A man and young boy asleep in a chair.,Three people are playing water volleyball in a pool
The people are sleeping.,A man and young boy asleep in a chair.,Two women wearing white shirts are dancing.
The people are sleeping.,A man and young boy asleep in a chair.,People eating around a table.
The people are sleeping.,A man and young boy asleep in a chair.,Two people street cleaning by hand and with machine.
The people are sleeping.,A man and young boy asleep in a chair.,People are enjoying shade underneath colored umbrellas.
The people are sleeping.,A man and young boy asleep in a chair.,Two men and a woman smiling and holding music instruments and a microphone.
The people are sleeping.,A man and young boy asleep in a chair.,Four people in protective clothing standing next to garbage bags.
The people are sleeping.,A man and young boy asleep in a chair.,Two people are on a path using a map and a compass.
The people are sleeping.,A man and young boy asleep in a chair.,A man and a woman who are dressed in wedding clothes are dancing on a dance floor.
The people are sleeping.,A man and young boy asleep in a chair.,"A group of people watching four other people, one woman dressed in brown, one woman dressed in white and four children dressed in yellow and orange."
The people are sleeping.,A man and young boy asleep in a chair.,People riding a boat on a clear day.
The people are sleeping.,A man and young boy asleep in a chair.,People on bicycles waiting at an intersection.
The people are sleeping.,A man and young boy asleep in a chair.,People sit a tables while a man speaks with a microphone.
The people are sleeping.,A man and young boy asleep in a chair.,People are going in and out of what looks to be a theater.
The people are sleeping.,A man and young boy asleep in a chair.,A group of individuals conversing and drinking beverages.
The people are sleeping.,A man and young boy asleep in a chair.,Three people holding beers and posing for a picture.
The people are sleeping.,A man and young boy asleep in a chair.,Little girl with floaties swimming next to older man standing in the water.
The people are sleeping.,A man and young boy asleep in a chair.,A man in a green tie talking to two woman over drinks.
The people are sleeping.,A man and young boy asleep in a chair.,Protesters march for education reform.
The people are sleeping.,A man and young boy asleep in a chair.,A man and woman walk up a sidewalk away from the water.
The people are sleeping.,A man and young boy asleep in a chair.,A young couple kissing by a bike rake.
The people are sleeping.,A man and young boy asleep in a chair.,Several people wait for a train.
The people are sleeping.,A man and young boy asleep in a chair.,Two men playing rugby on the ground.
The people are sleeping.,A man and young boy asleep in a chair.,"A group of people sit in an open, plaza-like area with large bushes and victorian-styled buildings in a row behind them, many of which are made indistinct by a heavy blur on the right side of the picture."
The people are sleeping.,A man and young boy asleep in a chair.,This photograph captured a man and a woman skating in an intertwining pose.
The people are sleeping.,A man and young boy asleep in a chair.,A man is eating from a paper cone while a woman stands behind him.
The people are sleeping.,A man and young boy asleep in a chair.,A group of people on a walkway.
The people are sleeping.,A man and young boy asleep in a chair.,Two people skiing on a mountain.
The people are sleeping.,A man and young boy asleep in a chair.,A man in a pair of jeans and a yellow shirt with a paper hanging out of his back pocket enjoys a laugh with a man in jeans and a white shirt at what looks like a meeting coming to an end.
The people are sleeping.,A man and young boy asleep in a chair.,Four people are playing football by a body of water in partly cloudy weather.
